brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,third_row_seating,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,interior_color,exterior_color,price
Cadillac,Seville Base,1984,35021,4.1L V8 16V OHV,4.1,4-Speed Automatic,1,Gasoline,Front-wheel Drive,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brown,Brown,11999
Audi,RS 5 2.9T,2022,22284,2.9L V6 24V GDI DOHC Twin Turbo,2.9,Automatic,1,Gasoline,Four-wheel Drive,,,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,Black / Gray,Mythos Black Metallic,78951
Nissan,Murano LE,2012,68638,3.5L V6 24V MPFI DOHC,3.5,Automatic CVT,1,Gasoline,Front-wheel Drive,15,20,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,Black,Platinum Graphite,15236
Kia,Niro EV EX,2022,8241,Electric,,Automatic,1,Electric,Front-wheel Drive,18,24,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Charcoal,Gray,34988
BMW,740 i,2020,28431,3.0L I6 24V GDI DOHC Turbo,3,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,22,29,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,Black,Black Sapphire Metallic,47417
Jaguar,XJ XJL Portfolio,2014,89005,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,22,27,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,Cashew / Truffle,Ebony,21995
Land,Rover Range Rover P525 HSE Westminster,2021,19863,V8,,Automatic,1,Gasoline,Four-wheel Drive,17,23,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,Ebony,Eiger Grey,96995
MINI,Convertible Cooper S,2013,39511,1.6L I4 16V GDI DOHC Turbo,1.6,6-Speed Manual,0,Gasoline,Front-wheel Drive,26,33,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Brown,Brown,17998
MINI,Countryman Cooper S,2016,36144,1.6L I4 16V GDI DOHC Turbo,1.6,6-Speed Automatic,1,Gasoline,Front-wheel Drive,26,34,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,Black,White,18990
Land,Rover Range Rover Evoque SE Premium,2017,51649,2.0L I4 16V GDI DOHC Turbo,2,9-Speed Automatic,1,Gasoline,Four-wheel Drive,19,23,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,Almond / Espresso,Fuji White,25500
Volkswagen,Atlas 3.6L SE,2019,24176,3.6L V6 24V GDI DOHC,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,29,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,Titan Black,Reflex Silver Metallic,30961
Cadillac,XT4 Sport,2021,27673,"2L I-4 gasoline direct injection, DOHC, variable valve control,",2,Automatic,1,Gasoline,Four-wheel Drive,14,21,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,Jet Black w/Cinnamon Accents,Wave Metallic,38495
Jaguar,F-TYPE R,2017,27368,5.0L V8 32V GDI DOHC Supercharged,5,8-Speed Automatic,1,Gasoline,Four-wheel Drive,17,26,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,Red,Ammonite Grey,63950
Jaguar,F-TYPE S British Design Edition,2017,28386,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,23,30,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,Jet /J et,Glacier White,45899
Toyota,Matrix XR,2004,57826,1.8L I4 16V MPFI DOHC,1.8,4-Speed Automatic,1,Gasoline,Front-wheel Drive,28,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black,Radiant Red,10565
Land,Rover Discovery Sport Landmark,2019,44343,I4,,Automatic,1,Gasoline,Four-wheel Drive,,,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,Ebony,Narvik Black,28111
Cadillac,ATS 2.0L Turbo Performance,2014,122011,2.0L I4 16V GDI DOHC Turbo,2,6-Speed Automatic,1,Gasoline,Four-wheel Drive,23,34,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,Black,Black,14991
Chevrolet,Express 2500 LS,2010,114552,6.0L V8 16V MPFI OHV Flexible Fuel,6,6-Speed Automatic,1,E85 Flex Fuel,Rear-wheel Drive,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Neutral,Sandstone Metallic,17350
Suzuki,Grand Vitara LX,2005,160260,2.5L V6 24V MPFI DOHC,2.5,4-Speed Automatic,1,Gasoline,Rear-wheel Drive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gray,White,5995
BMW,X3 M40i,2021,28212,3.0L I6 24V GDI DOHC Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,21,27,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,Black,White / Black,47960
BMW,X2 xDrive28i,2020,56804,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,24,31,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,Magma Red,White,32995
Mitsubishi,Eclipse Cross ES,2022,14124,1.5L I4 16V GDI DOHC Turbo,1.5,Automatic CVT,1,Gasoline,Four-wheel Drive,24,29,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,,Red,24000
Cadillac,ATS 2.0L Turbo Luxury,2018,72435,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,21,27,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,Jet Black,Crystal White Tri-Coat,19860
Mitsubishi,Mirage G4 ES,2017,75590,1.2L I3 12V MPFI DOHC,1.2,Automatic CVT,1,Gasoline,Front-wheel Drive,23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Light Gray,Silver,12256
Kia,Sportage LX,2023,23956,2.5L I4 16V PDI DOHC,2.5,8-Speed Automatic,1,Gasoline,Front-wheel Drive,17,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black,Black,26500
Nissan,Altima 2.5 SV,2018,85072,2.5L I4 16V MPFI DOHC,2.5,Automatic CVT,1,Gasoline,Front-wheel Drive,,,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,Charcoal,Glacier White,16685
Toyota,Camry SE,2009,142237,2.4L I4 16V MPFI DOHC,2.4,5-Speed Automatic,1,Gasoline,Front-wheel Drive,21,31,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ash,Black,7000
Toyota,4Runner TRD Off Road Premium,2019,57821,4.0L V6 24V MPFI DOHC,4,5-Speed Automatic,1,Gasoline,Four-wheel Drive,17,20,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,Black,Red,36796
MINI,Countryman Cooper S,2019,24925,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Front-wheel Drive,24,33,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,Carbon Black,Thunder Gray Metallic,27577
Honda,CR-V Hybrid Sport,2023,1468,2.0L I4 16V GDI DOHC Hybrid,2,Automatic CVT,1,Hybrid,Four-wheel Drive,,,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,Black,Silver,33950
MINI,Convertible Cooper S,2014,66838,1.6L I4 16V GDI DOHC Turbo,1.6,6-Speed Automatic,1,Gasoline,Front-wheel Drive,29,37,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,Black,Lightning Blue Metallic,13980
Volvo,XC60 T6 Premier Plus,2013,116000,,,Automatic,1,Gasoline,Four-wheel Drive,20,30,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,Sandstone Beige,Electric Silver Metallic,11995
Volkswagen,R32 3.2L,2004,117732,"3.2L V-6 DOHC, variable valve control, engine with 240HP",3.2,Manual,0,Gasoline,Four-wheel Drive,20,27,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,Black/Black/Black,Deep Blue,23990
Hyundai,Genesis Coupe 3.8 Track,2013,144888,3.8L V6 24V GDI DOHC,3.8,6-Speed Manual,0,Gasoline,Rear-wheel Drive,33,43,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,Black,Tsukuba Red,11999
Honda,Ridgeline RTL-T,2018,60213,3.5L V6 24V GDI SOHC,3.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,18,25,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,Black,Crystal Black Pearl,29499
Nissan,Frontier SE,2010,161000,4.0L V6 24V MPFI DOHC,4,5-Speed Automatic,1,Gasoline,Four-wheel Drive,13,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Black,Super Black,9500
Volkswagen,Atlas 3.6L SE w/Technology,2019,51180,3.6L V6 24V GDI DOHC,3.6,8-Speed Automatic,1,Gasoline,Front-wheel Drive,24,36,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,Titan Black,Reflex Silver Metallic,27776
Mercedes-Benz,AMG GLS 63 Base 4MATIC,2021,15346,4.0L V8 32V GDI DOHC Twin Turbo,4,9-Speed Automatic,1,Gasoline,Four-wheel Drive,21,27,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,Black,Black,125888
Lexus,RX 450h Base,2020,50955,3.5L V6 24V PDI DOHC Hybrid,3.5,Automatic CVT,1,Hybrid,Four-wheel Drive,15,18,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,Black,Obsidian Black,45700
Land,Rover Range Rover Velar S,2023,1635,2.0L I4 16V GDI DOHC Turbo,2,Automatic,1,Gasoline,Four-wheel Drive,20,27,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,Acorn,Fuji White,61592
Ford,Explorer Sport,2016,70974,3.5L V6 24V GDI DOHC Twin Turbo,3.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,16,22,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,Ebony Black,White,22712
MINI,Hardtop Cooper,2020,41735,1.5L I3 12V GDI DOHC Turbo,1.5,7-Speed Automatic with Auto-Shift,1,Gasoline,Front-wheel Drive,28,37,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,Carbon Black,Pepper White,21923
Nissan,350Z Touring,2008,46399,3.5L V6 24V MPFI DOHC,3.5,5-Speed Automatic,1,Gasoline,Rear-wheel Drive,13,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Carbon,Magnetic Black Pearl,16988
Ford,Mustang Mach 1,1970,17136,95,95,4-Speed,0,Unknown,Rear-wheel Drive,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Burgundy,73988
Lexus,GS F Base,2016,33429,5.0L V8 32V PDI DOHC,5,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,43,45,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,Gray,Blue,54952
FIAT,124 Spider Classica,2019,9828,1.4L I4 16V MPFI SOHC Turbo,1.4,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,26,35,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,Nero,Moda Gray Metallic,25145
Ford,Utility Police Interceptor Base,2017,93486,3.7L V6 24V MPFI DOHC Flexible Fuel,3.7,6-Speed Automatic,1,E85 Flex Fuel,Four-wheel Drive,16,21,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,Shadow Black,16000
Chevrolet,Tahoe Z71,2021,48376,5.3L V8 16V GDI OHV,5.3,10-Speed Automatic,1,Gasoline,Four-wheel Drive,16,20,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,Black,Graywood Metallic,65791
Honda,Civic Si,2015,83068,2.4L I4 16V MPFI DOHC,2.4,6-Speed Manual,0,Gasoline,Front-wheel Drive,22,31,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,Black / Red,Red,17097
Hyundai,Tucson Hybrid Limited,2022,39217,1.6L I4 16V GDI DOHC Turbo Hybrid,1.6,6-Speed Automatic,1,Hybrid,Four-wheel Drive,38,38,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,Black,Phantom Black,35624
MINI,Hardtop Cooper,2015,56203,1.5L I3 12V GDI DOHC Turbo,1.5,Automatic,1,Gasoline,Front-wheel Drive,23,32,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,Carbon Black,White Silver Metallic,14999
Mazda,CX-9 Touring,2020,28626,2.5L I4 16V GDI DOHC Turbo,2.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,24,30,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,Black,Snowflake White Pearl,30622
Mitsubishi,Mirage ES,2017,80123,"1.2L I-3 DOHC, MIVEC variable valve control, engine with 78HP",1.2,CVT,0,Gasoline,Front-wheel Drive,23,30,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Black,Wine Red,8900
Alfa,Romeo Giulia Base,2020,27904,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,22,28,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,Black,Lunare White Metallic,27675
Mercedes-Benz,E-Class 4MATIC,2017,57924,"2L I-4 gasoline direct injection, DOHC, variable valve control,",2,Automatic,1,Gasoline,Four-wheel Drive,15,23,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,Silk Beige,Polar White,29995
Porsche,Panamera Sport Turismo Turbo,2018,29350,4.0L V8 32V GDI DOHC Twin Turbo,4,8-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,14,21,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,Black,Volcano Grey Metallic,105995
Jaguar,XJ XJL Supercharged,2016,47257,"5L V-8 gasoline direct injection, DOHC, variable valve control,",5,Automatic,1,Gasoline,Rear-wheel Drive,72,80,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,Cashew/Truffle,Black,32375
MINI,Countryman Cooper S,2015,83638,1.6L I4 16V GDI DOHC Turbo,1.6,6-Speed Automatic,1,Gasoline,Front-wheel Drive,25,31,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Carbon Black,Cosmic Blue Metallic,13997
Kia,Rio LX,2020,44765,1.6L I4 16V MPFI DOHC,1.6,Automatic CVT,1,Gasoline,Front-wheel Drive,20,28,,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,Black,Clear White,17310
Porsche,Cayenne Base,2016,45765,3.6L V6 24V GDI DOHC,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,20,28,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,,White,29000
Suzuki,Grand Vitara,2006,159066,2.7L V6 24V MPFI DOHC,2.7,5-Speed Automatic,1,Gasoline,Four-wheel Drive,19,25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Black,Silver,5499
Chevrolet,SS Base,2015,52522,6.2L V8 16V MPFI OHV,6.2,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,14,21,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,Jet Black,Phantom Black Metallic,37998
Mitsubishi,Eclipse Cross ES,2018,25970,1.5L I4 16V GDI DOHC Turbo,1.5,Automatic CVT,1,Gasoline,Front-wheel Drive,23,29,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,Black,Blue,19998
Land,Rover Range Rover Evoque S,2022,21938,I4,,Automatic,1,Gasoline,Four-wheel Drive,15,19,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,Ebony,Santorini Black,43998
Volvo,XC70 T6 Premier Plus,2015,119897,3.0L I6 24V MPFI DOHC Turbo,3,6-Speed Automatic,1,Gasoline,Four-wheel Drive,22,33,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,Off Black,Seashell Metallic,16888
MINI,Hardtop Cooper S,2015,74518,2.0L I4 16V GDI DOHC Turbo,2,6-Speed Automatic,1,Gasoline,Front-wheel Drive,23,30,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,Carbon Black,Chili Pepper Red,16495
Mercedes-Benz,AMG G 63 4MATIC,2022,3943,4.0L V8 32V GDI DOHC Twin Turbo,4,Automatic,1,Gasoline,Four-wheel Drive,,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black,Black,211891
MINI,Convertible Cooper S,2020,6870,2.0L I4 16V GDI DOHC Turbo,2,7-Speed Automatic with Auto-Shift,1,Gasoline,Front-wheel Drive,24,34,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,Carbon Black,Chili Pepper Red,34400
Nissan,370Z Sport,2017,52455,3.7L V6 24V MPFI DOHC,3.7,7-Speed Automatic,1,Gasoline,Rear-wheel Drive,27,39,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Black,Magnetic Black,26995
Cadillac,XT4 Premium Luxury,2021,61172,2.0L I4 16V GDI DOHC Turbo,2,9-Speed Automatic,1,Gasoline,Front-wheel Drive,15,22,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,Jet Black,Radiant Silver Metallic,26888
Audi,e-tron Premium Plus,2019,17560,Electric,,1-Speed Automatic,1,Electric,Four-wheel Drive,,,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,Pearl Beige,Galaxy Blue Metallic,41500
Mercedes-Benz,AMG GT R,2020,3872,4.0L V8 32V GDI DOHC Twin Turbo,4,7-Speed Automatic with Auto-Shift,1,Gasoline,Rear-wheel Drive,16,21,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,Black,Designo Magno,199975
Alfa,Romeo Stelvio Base,2021,21898,"2L I-4 gasoline direct injection, MultiAir2 variable valve contr",2,Automatic,1,Gasoline,Four-wheel Drive,22,28,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,Black,Vulcano Black Metallic,32995
Jaguar,XJ8 Vanden Plas,2002,66026,4.0L V8 32V MPFI DOHC,4,5-Speed Automatic,1,Gasoline,Rear-wheel Drive,17,27,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,,Black,8490
Mercedes-Benz,GLK-Class GLK 350,2014,48283,3.5L V6 24V GDI DOHC,3.5,7-Speed Automatic,1,Gasoline,Rear-wheel Drive,22,30,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,Gray / Black,Diamond Silver,20795
Mazda,Mazda3 FWD w/Preferred Package,2022,7011,2.5L I4 16V GDI DOHC,2.5,6-Speed Automatic,1,Gasoline,Front-wheel Drive,26,35,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,Black,Soul Red Crystal Metallic,26600
Chevrolet,SSR Base,2005,48473,6.0L V8 16V MPFI OHV,6,4-Speed Automatic,1,Gasoline,Rear-wheel Drive,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Ebony,Ricochet Silver Metallic,27959
Toyota,Camry Hybrid LE,2019,64907,2.5L I4 16V PDI DOHC Hybrid,2.5,Automatic CVT,1,Hybrid,Front-wheel Drive,51,53,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,Ash,White,23077
Jaguar,XF SC,2013,74648,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,27,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,Dove / Charcoal,Rhodium Silver,16980
Jaguar,F-PACE 25t Prestige,2018,47492,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,25,34,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,Latte / Espresso,Loire Blue,27995
MINI,SE Hardtop Cooper,2022,8257,Electric,,1-Speed Automatic,1,Electric,Front-wheel Drive,23,32,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,Carbon Black,Moonwalk Gray Metallic,26987
Ford,Explorer Limited,2022,18767,2.3L I4 16V GDI DOHC Turbo,2.3,10-Speed Automatic,1,Gasoline,Four-wheel Drive,20,27,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,Ebony,Carbonized Gray Metallic,40499
Porsche,718 Cayman Base,2018,21245,2.0L H4 16V GDI DOHC Turbo,2,6-Speed Manual,0,Gasoline,Rear-wheel Drive,19,23,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,Agate Grey,Graphite Blue Metallic,52800
Ford,Edge SEL,2019,46996,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,21,28,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,,Black,25994
Porsche,Macan Base (PDK),2023,749,2.0L I4 16V GDI DOHC Turbo,2,Automatic,1,Gasoline,Four-wheel Drive,16,24,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black,Gentian Blue Metallic,64995
Volvo,S60 T5 Dynamic,2017,73873,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Front-wheel Drive,22,31,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,Off Black,Onyx Black Metallic,18880
Lexus,NX 250 Base,2022,5710,2.5L I4 16V PDI DOHC,2.5,Automatic,1,Gasoline,Front-wheel Drive,18,29,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,Cream,Eminent White Pearl,41991
Mercedes-Benz,E-Class E 350 4MATIC,2016,144877,3.5L V6 302hp 273ft. lbs.,3.5,7-Speed Shiftable Automatic,1,Gasoline,Four-wheel Drive,17,22,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,Black,Jet Black,19795
Nissan,Murano SL,2018,53045,"3.5L V-6 DOHC, variable valve control, engine with 260HP",3.5,Automatic,1,Gasoline,Front-wheel Drive,15,20,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,Mocha,Magnetic Black Metallic,23218
Toyota,Camry LE,2001,65713,2.2L I4 16V MPFI DOHC,2.2,4-Speed Automatic,1,Gasoline,Front-wheel Drive,23,32,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tan,Gold,9990
Toyota,Camry SE,2020,32282,2.5L I4 16V PDI DOHC,2.5,8-Speed Automatic,1,Gasoline,Front-wheel Drive,28,39,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,Black,,28890
Toyota,RAV4 XLE,2022,25073,2.5L L4 DOHC 16V,2.5,Automatic,1,Gasoline,Front-wheel Drive,28,35,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,Black,White,34275
Audi,A8 L 3.0T,2015,73214,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,19,29,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,Black,Phantom Black Pearl,23882
Land,Rover Range Rover 3.0L Supercharged HSE,2018,63000,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,3,8-Speed A/T,0,Gasoline,Four-wheel Drive,21,25,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,Beige,Blue,69900
Mercedes-Benz,GLE 350 Base 4MATIC,2018,54737,3.5L V6 24V GDI DOHC,3.5,7-Speed Automatic,1,Gasoline,Four-wheel Drive,15,23,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,Black,Selenite Gray Metallic,29500
Hyundai,Santa Fe SEL 2.4,2020,51941,2.4L I4 16V GDI DOHC,2.4,8-Speed Automatic,1,Gasoline,Four-wheel Drive,23,31,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,Black,Twilight Black,22999
Lexus,RX 450hL 450HL,2021,21561,3.5L V6 24V PDI DOHC Hybrid,3.5,Automatic CVT,1,Hybrid,Four-wheel Drive,22,22,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,Black,Nightfall Mica,51996
Volvo,V60 Cross Country T5,2020,28434,I-4 cyl,,Automatic,1,Gasoline,Four-wheel Drive,19,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Charcoal,Onyx Black,35000
Nissan,NV Cargo NV3500 HD SL Cargo,2017,80274,5.6L V8 32V MPFI DOHC,5.6,7-Speed Automatic,1,Gasoline,Rear-wheel Drive,21,30,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Gray,Glacier White,29875
Maserati,Quattroporte Sport GT S,2008,39979,4.2L V8 32V MPFI DOHC,4.2,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,13,20,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,Nero,Black,21998
Hyundai,Tucson Limited,2016,86409,1.6L I4 16V GDI DOHC Turbo,1.6,7-Speed Automatic with Auto-Shift,1,Gasoline,Front-wheel Drive,18,29,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,Black,Coliseum Grey,15499
Cadillac,CTS Base,2012,88455,3.0L V6 24V GDI DOHC,3,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,21,31,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Black,Black,14998
Lexus,IS 350 Base,2015,71628,3.5L V6 24V PDI DOHC,3.5,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,19,26,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,Red,White,26430
Mercedes-Benz,GLE 350 Base 4MATIC,2021,22857,2.0L I4 16V GDI DOHC Turbo,2,9-Speed Automatic,1,Gasoline,Four-wheel Drive,16,25,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,Black,Black,55574
